0,1,2,3
6078,93,1876,200
5428,137,568,0
2016,97,2692,362
4953,137,5122,264
3080,42,638,215
995,13,4171,247
1461,32,4989,307
6432,190,2661,276
2484,93,3098,168
3890,115,5945,183
2626,164,2391,286
3814,190,4865,310
4542,20,5480,235
6432,32,4646,288
1050,65,1487,335
5866,84,3281,129
898,93,3934,92
3002,71,6459,98
6260,32,5866,119
6260,9,6228,57
5047,164,5042,21
1905,93,4885,23
4775,164,5613,217
3098,75,6093,78
6578,164,3578,280
3639,83,2357,277
5968,93,4409,12
3269,38,4753,126
2409,177,6168,1
6476,105,2222,316
2753,158,4584,187
2927,200,2886,82
750,93,4409,325
1655,93,3281,168
552,93,8,292
5953,164,4542,196
2566,126,3229,89
4252,32,143,10
5602,49,3116,170
1777,32,4646,55
4170,93,751,166
3393,20,2067,309
750,93,4409,352
3462,215,2016,151
4152,106,2098,12
4989,137,751,264
1712,3,4542,207
3164,38,6260,118
2774,37,1655,61
1383,164,6825,35
4722,32,4646,288
5042,133,5602,302
2658,117,4542,204
5269,164,2463,346
268,32,3976,67
5828,164,6986,162
2038,115,1504,141
5436,158,3415,166
4463,42,5957,84
4145,158,5664,249
3230,37,6209,138
3164,32,891,332
4131,105,3098,357
42,180,4542,147
6260,190,5042,349
5613,32,4735,251
5866,2,6260,211
5839,164,2661,223
5899,93,1862,36
4989,158,4953,253
4542,21,4992,313
2696,93,6246,117
5596,18,490,314
3188,93,4529,304
5265,190,213,313
5901,204,5805,86
2463,32,5269,354
750,20,5983,276
5613,9,3558,287
6524,32,1146,274
404,93,1216,349
4542,164,4946,363
7104,93,5042,272
4298,93,2566,182
2570,129,2696,85
609,93,3179,149
5602,158,6432,38
3890,63,5945,46
5699,93,4753,149
6578,18,3578,301
6243,98,3187,74
2486,2,182,251
5620,93,2927,149
5723,3,4544,144
3230,93,1830,272
4753,93,3642,253
4532,32,1884,26
3832,37,5966,94
4515,133,4753,120
5945,20,873,93
5381,200,5945,147
2298,20,2661,134
165,164,5945,57
2712,37,4542,278
4946,137,5602,126
3164,9,3091,18
1427,190,2963,281
3642,32,1617,306
6432,93,3797,123
6556,93,3967,92
1504,42,2016,267
2016,13,4742,216
6882,18,6591,306
6260,204,1531,353
5866,32,2875,48
5042,158,5699,258
4243,93,1588,220
2357,137,2016,75
6591,9,334,79
3506,18,4883,259
1718,37,4542,327
5613,32,4953,318
5957,149,4463,165
5839,158,4646,238
273,32,4646,258
1923,32,1662,204
426,20,448,93
4989,9,448,42
5945,20,4409,304
4753,133,5510,57
6065,190,2222,253
4735,32,2955,95
2419,71,5945,359
6310,32,5072,178
142,32,2586,327
4369,137,5511,186
4831,196,4542,167
5923,153,3814,124
2981,42,200,83
6124,106,3814,18
4895,158,4946,164
3164,2,4584,82
5804,32,6110,38
4288,3,3002,349
3506,93,3056,294
5047,93,5042,42
74,190,5042,29
5428,93,2696,161
2566,105,4298,55
5314,3,5945,125
6364,158,6789,250
4646,20,2104,348
3795,156,2044,137
4238,93,3098,167
759,93,2357,58
4532,38,2535,121
7113,158,2661,87
5042,83,5602,167
6256,200,6243,291
2033,3,1942,29
6260,227,5048,246
552,32,1312,178
4398,93,4893,345
6731,137,4753,149
6483,93,3506,354
521,93,4298,253
3794,164,2567,196
5042,185,2317,351
925,75,4409,348
5713,189,6311,32
6260,93,2661,301
5921,64,3736,354
478,115,3462,262
3164,9,2820,98
3098,37,6698,348
1862,158,5042,313
4753,133,3445,216
2350,151,4542,274
3388,20,6977,102
4263,32,2528,12
1322,164,1334,90
5602,158,5078,127
2642,137,5246,239
1050,180,1487,163
2546,93,4409,215
6803,115,4298,348
3230,37,1830,364
1058,93,6246,20
1431,9,2317,26
213,37,1828,190
3257,180,3230,346
5042,38,5602,206
6593,93,783,316
508,137,3669,51
3219,93,2311,279
2229,200,3002,78
2911,18,1151,240
6260,204,751,99
4753,93,1876,20
995,38,5602,56
4425,93,6892,317
5945,20,4793,277
4793,37,3890,246
1449,93,3506,198
2534,9,1454,77
6891,32,3794,214
6923,93,4409,85
2181,83,5602,167
2915,180,3159,84
1655,37,3480,230
2696,180,2423,1
2028,190,4753,91
4753,105,4298,293
5945,20,4409,123
3230,93,4131,326
2361,83,3823,285
1367,93,4770,289
2271,93,5042,353
3339,71,1084,205
2016,225,4742,186
6391,126,7039,157
4397,180,2016,259
817,115,4581,5
4989,32,4953,47
3752,32,5637,272
2313,180,6187,223
5024,93,2281,231
508,20,6424,140
2458,115,4131,130
1205,32,2205,97
5298,129,2696,176
6795,106,5448,119
3445,200,213,10
6260,227,1379,109
5298,129,2696,191
6628,37,2456,190
4750,93,1590,215
1090,32,3164,223
2033,106,5845,93
5370,83,5602,153
5585,63,5945,177
4865,98,4298,350
2592,38,4542,3
4999,20,1423,59
2661,71,5839,176
5767,93,3673,26
3661,137,7054,139
1321,180,3049,201
4542,3,5089,54
1779,42,6256,53
1100,137,6897,349
6432,93,4753,178
2463,164,1590,215
3715,64,5047,148
660,9,3345,52
750,93,2546,287
5042,37,4408,91
4574,95,3890,122
360,122,3282,251
5042,137,3445,75
5713,105,3476,200
4081,164,302,60
835,38,2566,285
5602,38,2661,239
2588,153,3179,281
2577,37,4742,97
5839,20,5042,348
4584,190,5042,333
769,37,1496,261
2311,158,2696,295
4542,20,6310,85
5866,3,3281,11
2350,117,4542,203
2995,93,2911,265
736,133,4387,30
113,153,3407,146
4753,32,1617,3
1612,21,4742,163
3813,180,246,79
5042,9,5047,147
3814,93,5723,157
2117,20,4559,285
6578,37,3578,252
5381,93,5585,156
1005,20,4742,334
750,38,5945,304
2566,38,835,158
2813,190,3675,118
4946,93,1648,304
418,156,3098,346
5042,9,5839,204
6432,32,5866,131
2222,93,1615,170
2043,20,4198,33
5945,20,4409,308
3403,120,5788,317
6432,32,6168,235
3642,9,1617,204
3828,32,4193,149
5042,32,2357,39
4634,93,2524,363
4473,93,1334,352
4865,158,5613,5
130,20,1540,135
3164,93,4753,272
6325,190,2311,223
1924,115,5957,337
1326,115,3506,222
2222,158,4616,340
1876,137,3029,277
4542,3,4299,51
2661,9,5839,158
5042,20,2222,177
6260,204,5866,299
5664,158,3445,142
7105,93,2263,271
3506,63,215,21
5866,38,5358,66
5866,3,4753,225
6260,183,2696,362
2124,32,774,191
521,93,5620,156
3164,2,6260,32
957,32,4277,49
2102,93,1102,73
5107,164,5382,168
4646,158,1363,248
2550,137,5436,78
3345,158,3976,27
4646,38,1363,71
6399,32,5511,70
3556,93,550,35
631,137,7078,164
6330,106,4532,112
6260,32,3164,126
14,32,1433,127
1143,153,5074,364
6578,180,3578,77
3255,190,5602,218
3180,229,4313,296
142,3,4753,245
4946,20,4263,242
4145,158,5042,74
2161,63,487,249
6703,32,1376,286
2661,30,5839,85
4953,93,4753,5
2033,93,1942,248
5839,158,4646,327
4346,93,2310,137
5969,20,1712,87
5585,63,5945,215
6432,9,4753,3
6964,32,4298,255
2067,20,3267,135
5047,105,2357,74
5839,205,2661,330
2696,38,4753,72
6228,32,3164,357
3230,200,1830,231
1461,106,552,19
4277,32,2222,236
289,93,6226,132
164,2,729,198
3179,200,2588,80
5945,227,165,3
3795,37,346,250
6741,32,6260,322
3176,227,1958,290
2350,115,4542,207
1376,20,6390,156
5135,200,1712,347
5661,200,4933,222
67,227,3910,57
777,93,638,114
2120,164,2016,342
4391,32,4646,13
1007,83,4513,152
6964,32,448,19
5699,215,2696,248
5314,20,6923,143
5042,133,5844,305
1321,93,4885,51
1584,2,3164,260
5983,164,2546,134
2610,93,5996,357
4646,32,1115,325
2054,20,3382,126
428,32,5953,80
835,137,5042,143
3479,13,7113,39
5839,158,6432,40
6529,32,5302,324
3445,190,4298,54
6174,9,4646,294
6432,79,4371,200
5866,93,3281,103
4953,2,4298,230
3578,0,1595,192
4548,37,1909,279
5165,93,3483,276
5136,13,5945,166
3642,32,3164,98
2258,214,2661,18
1617,26,6260,140
3976,137,3506,154
5957,75,4116,288
60,93,4298,114
4646,93,6490,194
3340,93,2774,349
2955,137,170,176
4374,20,1595,181
3415,190,5839,314
4016,93,4753,70
5866,93,4953,102
4946,20,4542,16
1581,200,2470,71
6445,9,5042,342
3230,37,1830,134
5792,20,213,349
4646,227,5042,160
6432,93,4646,325
3786,115,6628,250
3890,200,5945,348
399,227,218,100
220,106,2463,138
4885,158,4646,164
1115,20,3754,286
3976,93,1590,292
5042,164,5602,88
3575,20,2263,26
5839,9,2661,20
6260,190,213,140
4946,9,4542,14
165,93,750,227
5332,3,5945,144
5602,106,2661,152
4515,186,4753,361
2317,183,2696,157
75,204,4989,92
3281,3,5866,136
6524,93,3031,181
4409,160,5945,178
5107,96,65,330
3578,154,648,316
2638,93,2481,21
3865,32,2272,263
5042,32,1526,316
4735,93,6168,107
5892,93,490,141
5042,199,4865,330
5602,188,3116,307
6426,200,346,43
1050,37,4648,127
925,80,2091,100
4646,32,5042,122
2402,132,3914,236
5602,26,5042,105
6448,93,2866,72
1655,93,3281,19
2812,93,5042,14
925,83,4298,80
5136,20,5945,260
3476,3,3281,48
3795,3,2044,74
6432,51,4277,149
5602,13,102,53
1707,32,1461,39
4542,20,4992,314
6860,93,5042,193
472,32,1379,196
4542,38,5382,226
5042,133,4885,269
3814,137,2222,195
6168,190,6754,183
3179,93,2588,267
2535,93,3506,251
2840,189,1589,207
5042,164,5602,154
5042,45,5602,229
5738,137,6094,152
4342,9,4753,285
4172,93,5301,339
3895,160,2696,3
4750,93,1590,88
5831,187,995,162
4402,93,5285,137
3009,35,6725,242
4594,190,2311,285
2463,164,660,265
7048,93,5047,50
6527,93,5839,5
5945,20,4793,37
4824,37,3646,65
910,93,3230,336
1798,93,2181,42
5699,32,1346,75
4646,137,751,201
6026,137,361,142
5042,149,6619,148
2205,32,402,61
5834,93,4298,132
2546,32,205,44
268,38,6591,234
4753,32,2317,110
5602,38,5042,55
3575,42,3978,252
7091,164,5945,294
1712,184,4542,197
4753,133,2696,126
3982,93,6168,287
6964,32,448,3
4405,158,898,308
3179,164,2588,67
1904,32,1753,224
5913,20,6872,268
750,93,4409,102
5602,20,2661,351
2484,93,6209,295
3642,9,6260,351
6260,9,3642,151
5839,9,5602,269
4600,190,1021,170
1655,18,857,216
6352,176,5378,35
5839,164,6583,26
6260,26,3164,199
1226,200,4966,23
4753,37,6734,109
3390,64,1468,316
1383,93,4866,25
4742,20,5033,212
5510,32,4753,20
5945,20,5968,26
5042,199,4753,209
2157,190,4753,184
4865,37,1945,84
6556,180,5405,38
5354,225,3795,242
1712,96,4992,314
2408,120,346,87
5386,190,5723,5
3164,2,1090,298
3176,93,5047,362
2419,20,4793,304
6776,92,6609,139
3574,106,3002,338
4753,9,3098,189
3754,71,5602,254
5069,20,1487,167
2067,3,6892,310
2704,93,3994,218
4139,158,1923,293
6741,93,5953,186
7113,32,6758,321
1910,32,5194,279
5839,32,5602,120
2696,158,3642,225
6801,105,4753,261
4954,93,3866,46
6260,93,4753,191
219,164,995,63
5680,93,5983,343
3164,93,5284,263
6837,71,4513,181
2181,38,2963,269
6078,9,4753,283
6734,32,810,262
6846,5,4824,288
4584,26,3164,144
738,93,1066,347
5945,3,4409,265
1226,63,6725,156
3608,115,5838,139
1131,106,5619,143
5664,3,552,107
1204,136,3797,278
4409,20,4793,78
2162,37,1621,98
5883,215,638,67
5839,9,2661,230
6964,9,5834,206
908,137,2853,74
4646,26,5042,222
4865,204,4753,206
6976,93,4865,229
1947,93,2927,300
6432,137,2927,256
3642,93,4753,25
3673,32,205,347
5428,204,4752,166
5042,9,4646,23
6432,3,5866,282
5426,32,6260,348
616,93,6426,248
4542,115,3483,320
4858,32,3814,183
3795,21,3281,179
5792,198,3466,229
6432,9,638,267
5382,3,6310,118
3989,32,4319,121
6758,158,1002,257
3890,18,1091,39
5600,93,900,63
6168,64,1617,267
2357,158,6432,301
2264,20,6600,46
751,32,4990,230
5713,93,5839,19
2566,32,4004,337
2696,93,5298,134
4753,158,1617,266
6336,137,6432,273
5866,93,3281,15
2054,226,4251,266
6982,196,5636,314
3002,154,3170,320
4088,136,2311,274
6001,149,3729,198
2419,3,5945,187
2659,20,1909,50
774,190,5042,169
6578,20,3587,260
5252,115,5945,107
5382,20,4542,332
2566,20,41,97
6260,9,3445,97
3578,115,5743,64
3840,93,4753,181
4722,32,6695,347
2911,93,5959,340
418,93,5042,222
2811,30,3795,318
7035,120,6406,205
1055,32,1287,33
5945,154,4409,189
3098,154,5042,148
5839,93,2661,113
5585,20,5945,354
3535,129,2696,228
5839,38,5042,309
4559,20,4542,328
3140,115,4992,72
6789,9,4953,31
6837,200,1226,233
5839,38,5042,60
2131,158,4430,288
3139,93,6205,36
648,93,1041,204
5866,20,6260,257
1388,93,3039,110
2963,158,6260,274
5839,133,2661,340
2684,106,1084,144
4542,164,4060,62
5894,158,1526,332
3642,93,4298,81
751,9,3496,209
5033,93,2098,265
6860,141,2104,208
3642,9,6260,228
5845,93,182,146
5723,158,6412,125
1898,71,4753,59
4865,32,4753,44
5042,158,835,261
1058,93,2696,269
2493,190,2222,159
5507,3,5246,190
1335,93,213,236
5796,42,5428,48
4409,93,3878,35
5042,145,5602,251
3230,37,441,140
6578,180,3578,134
6733,93,4753,187
4529,204,3506,57
4871,32,1091,287
752,115,3187,144
4542,13,5975,60
1717,9,4277,30
2220,5,2927,330
4865,158,751,209
2927,118,4298,76
4581,93,1500,287
3795,133,4753,362
2458,115,4131,323
4539,105,4842,326
6432,49,4753,155
5218,180,1777,352
4933,3,5661,316
3991,105,3578,324
5804,106,2463,306
1392,93,4371,339
3583,115,6168,291
4216,32,2204,345
3994,137,6109,318
2131,93,6801,136
2419,180,3845,306
4895,158,4646,319
5047,32,3116,321
6926,93,158,258
6892,174,2067,127
3476,20,925,44
4865,133,6399,275
4793,37,5945,217
3230,180,441,131
1586,32,3164,285
934,93,3346,52
5042,137,4584,301
750,93,4409,238
2546,164,5945,92
5698,93,6997,281
3116,137,5042,337
6163,93,3416,284
638,158,6001,104
6260,190,3445,291
1461,93,2696,187
2661,164,2317,307
6260,93,2222,319
4595,190,4753,24
5839,133,5042,0
215,93,1590,236
5923,42,1645,315
2317,64,2927,119
6432,158,5866,178
3795,37,346,322
4188,38,4277,273
4030,200,6441,26
6031,115,6256,134
4542,164,2350,111
1590,20,976,85
552,93,2696,126
6432,20,2566,180
1617,93,4753,50
5839,3,2661,214
2600,13,783,73
5792,93,6758,265
718,115,2774,223
5042,158,835,232
5602,38,3814,189
6141,93,4409,352
6168,64,1334,34
5792,93,5042,100
1617,204,4692,320
1454,71,2067,138
3890,200,3673,257
5042,213,5602,100
2441,133,2222,239
5602,204,5042,137
1712,180,4542,336
3991,97,1041,356
3976,190,3345,27
5856,32,3917,26
6054,20,5945,343
5699,105,5602,265
1959,3,1749,246
